SIGN,DATE,TEXT
aries,2013-01-01,"Although this is likely a day away from work, there might be so much to do at home that you wish you were on the job. Nevertheless, you can see past the present moment as you anticipate the waves of relief heading your way. In the meantime, focusing on the present moment keeps your mind occupied. Don't let your responsibilities lag; taking care of the most pressing tasks right away eases the intensity so you can find time to relax."
taurus,2013-01-01,"A cautious approach to having fun today might sound restrictive at first, but you should be able to make this strategy work with ease. There is no need to go overboard with any type of indulgence; you can thoroughly enjoy yourself now by sharing simple pleasures with your friends or family. Instead of scheming for more gratification in the future, find contentment with what you have in the present."
gemini,2013-01-01,"You may feel conflicted today because you're currently motivated by needs that are different from your natural tendencies. Normally, you would choose communication over silence and activity over passivity. However, you can recharge your emotional batteries now by passing up a tempting party invitation or skipping a distracting trip to the bookstore. But even if you wisely choose to retreat, a part of you still longs for the action. Rest now; play later."
cancer,2013-01-01,"You are unsure about how involved you want to get with the emotional dramas that are unfolding around you. You might decide that acting cautiously is smarter than jumping into a conflict, only to discover that you are already playing a role in the scene anyhow. You may as well offer your assistance today, for your resistance will only delay a workable resolution. Showing your support by listening to your friends is the first step to establishing common ground."
leo,2013-01-01,"You may doubt yourself if you are putting too much effort into containing your energy. You're happiest when your love can be expressed naturally and everyone fully appreciates the magic you bring to their world. Now, however, it's tricky finding a healthy balance between your inner and outer worlds. Too much exuberance makes others uncomfortable. Too much self-restraint prompts them to worry about you. Don't be overly concerned; ultimately, all you can do is be yourself."
virgo,2013-01-01,"Even if there are unresolved issues floating around a current relationship, you can still latch onto a sense of well-being today. Once you decide to take everything in stride, communication becomes more straightforward and you're apt to just say what's on your mind. You're smart enough to know that some things are beyond fixing, and worrying about them won't make it easier to let go. Forget about the big picture for a while and revel in what you can do in the present moment."
libra,2013-01-01,"Retreating from the hectic world is a smart idea today and if you take care of your responsibilities early on, you can actually manifest a very relaxing day. However, you must scale back your social obligations or things probably won't unfold according to your ideal plan. Be ready for a few unexpected twists and turns; engage them willingly instead of resisting the inevitable. Your adaptability is the secret to your success."
scorpio,2013-01-01,"Although you might believe that being alone with your thoughts is the best way to spend the day, you will probably be better off hanging out with others today. But don't squander your time by celebrating with just anyone; you can be as selective as you want when it comes to the company you keep. Choose a few special friends and carve out enough space to share something meaningful. An unexpected gift of appreciation or a warm gesture of affection is a wonderful way to demonstrate your love."
sagittarius,2013-01-01,"You have recently experienced a phase of expansionism and it's time to re-establish balance in your life. Actually, your tendency to overstep limits may be a central theme for months to come, but it's still not healthy to lose yourself in unrealistic visions for next year. Instead, focus your attention on something you can change right now -- in the present moment. Today, thinking small is your smartest strategy."
capricorn,2013-01-01,"Having a concrete plan can help you feel better, but it still may be difficult to turn your thoughts into actions today. Don't be too self-judgmental if you can't yet get the traction you desire. You wisely realize that the best ideas take time to develop. Nevertheless, remember that you are currently caught between optimism and realism. Be patient; the pace will accelerate in the months ahead and a solid foundation prepares you for the changes of the future."
aquarius,2013-01-01,"It's awesome that you can still be comfortable even when life gets strange and weird. It's not that anything in particular is going wrong now; it's just that there are lots of loose ends that defy tying up. Instead of attempting to finish last year's business today, accepting circumstances as they are may be your most intelligent approach. Your irreverent sense of humor might just save the day, capturing the attention of admirers of a quick wit."
pisces,2013-01-01,"Your friends might try to bring you back down to earth today, but it's not easy to spend time with them if they're raining on your dreams and draining your enthusiasm. It's not that they have bad intentions where you're concerned; it's just that they don't understand the intense relationship you have with your imagination. You can be more tolerant of others once you understand that they sincerely have your happiness in mind."
aries,2013-01-02,"You are enthused about putting in a day of hard work today, but the details may require too much time and energy for your liking. However, if you become bogged down by a minor matter, consider that this isn't where your attention is most needed. Take a long, hard look before fruitlessly pouring your heart into a situation of questionable importance. You know you're doing the right thing when your energy flows without resistance."
taurus,2013-01-02,"While others seem uptight or nervous today, you may appear quite confident and calm. Your optimistic attitude and polished appearance make a great impression on your peers. You have a relaxed competence that puts people at ease, so take advantage of this creative phase by talking with those whose approval you seek. There's no need to hold back now so let your natural talents shine."
gemini,2013-01-02,"You feel extra clever today and are up for the challenge of getting your life back in order. But a problem may start at home with something relatively unimportant; unfortunately, even the smallest loose thread can unravel the largest fabric. Handling the situation successfully requires you to find the right balance between concern and detachment. Show how much you care without trying to control the outcome or expecting anything in return."
cancer,2013-01-02,"Using your sharp wit as a weapon today is less admirable than simply telling the truth. Don't just settle into a defensive posture if it feels like someone is attacking you. Emotions hiding beneath the surface might be the result of deeper motivations that are't being discussed openly. Rely on your analytical powers to discern whether anyone is trying to manipulate you, and then react accordingly. Taking the high road is almost always the best route to maintaining your integrity."
leo,2013-01-02,"You will accomplish a lot more today if you can focus on just one thing at a time. Of course, it's easy to be pleasantly lured off track when pets or children are in the picture. You have a wide range of talents and interests, but cashing in requires concentrating on what you value most. Mastering a single skill means that you really don't have time to waste. Remember, precision counts more now than anything else."
virgo,2013-01-02,"You typically like your world to be clean and polished, but you might get a little dirty today. Don't worry or become too self-critical about the mess because getting the job done is more important than looking good. Take a chance and dive into the challenges you face now. Put all your intensity into whatever you encounter and then move on, knowing that you gave it everything you could."
libra,2013-01-02,"Creating balance is what you Libras do best since you prefer staying cool and reasonable under all circumstances. However, if someone gets under your skin and agitates your feelings today, you might not keep your reaction to yourself. Pay attention to your emotions and notice where they take you. You have an excellent chance to talk through whatever comes up as long as you don't get stuck in one spot. Exploring uncharted emotional territory expands your heart, allowing more love to flow in and out."
scorpio,2013-01-02,"Your friends may attempt to convince you to do something that doesn't sound like the smartest move now. It's very important that you trust your instincts over someone else's argument -- even if you have to stand up for your beliefs. Nevertheless, be careful not to create more conflict than necessary, for others might be quick to take your disagreement as a direct challenge. Negotiation is certainly better than confrontation if you want to keep the peace."
sagittarius,2013-01-02,"Your laissez-faire approach might get you into big trouble at work today, especially if you try to avoid the most logical solution. Your best strategy now is the simplest one, so don't turn a molehill into a mountain or you'll eventually have to climb it. Listen to the cool voice of reason, even if it comes from your boss. Practicing self-discipline in the first place is a successful proactive strategy."
capricorn,2013-01-02,"Life feels a bit calmer today as the Moon moves through earthy Virgo. Try to make choices that stabilize a current situation while simultaneously planning for your future. Unfortunately, it may be challenging to balance your immediate needs with your long-term goals. Be careful not to let your ambitions dictate all your decisions or you'll end up wasting precious time and energy. Step back and ground yourself so you can operate from a practical perspective."
aquarius,2013-01-02,"It's difficult to slow down enough today to give your feelings time to fully express in the way you need. You tend to be uncomfortable when you are feeling vulnerable, yet emotional intimacy may be the key to your growth. Don't try to intellectualize everything you experience now. Instead, push through your awkwardness by freely opening your mind and heart to the world around you. Start slowly by sharing one of your deepest fears with someone you trust; you might be pleasantly surprised with where that conversation leads."
pisces,2013-01-02,"You may want to avoid tackling a difficult family issue today, but it's still probably a good idea to face an existing conflict head on. Instead of following your intuition, let the hard facts be your guide for a change. Analyze the situation from several points of view and then make an objective decision that benefits all involved. No one can find fault in your actions if you stick with clear logic."
aries,2013-01-03,"Although you may feel like changing the course of events today, others might not be willing to follow your lead. You could be too impulsive, since you're inclined to jump to conclusions without having the necessary facts to support your fantastic ideas. Go ahead and be as inventive as possible now, but don't expect anyone else to join in your parade. March to the sound of your own drum instead of waiting for something to happen."
taurus,2013-01-03,"You like knowing what's real, yet a whole new set of data may come to your attention today that gives rise to self-doubt. You might even question whether or not you're on the right track. Your resistance to change could harden into rigidity but this isn't a sensible strategy, especially if your previous assumptions were wrong. Remaining open to other options doesn't fix the underlying problem, but it can make your day easier to manage along the way."
gemini,2013-01-03,"You're on top of your mental game today and can amaze people with your wit and wisdom. However, extra care is required or you might become so enthralled with your own cleverness that you take an argument too far. Too much eagerness on your part could cause you to lose ground in a conflict. Go ahead and take a risk, but think twice before pushing your luck."
cancer,2013-01-03,"You may step on someone's toes unintentionally because you're uncharacteristically insensitive today. Normally, you're acutely aware of people's feelings, but you might get so excited now that compassion falls to the wayside. Your temporary lack of concern doesn't mean you are unkind; it's just that your enthusiasm makes you a bit inconsiderate. The simple solution is to stop and think about the impact of your words before you speak them."
leo,2013-01-03,"You are eager to enjoy yourself today, but previous commitments might present time management problems. Unfortunately, your nervous energy could grow distracting unless you consciously channel it into a creative activity. It's a good day to work in partnership with someone whose approach is much different from yours. A collaborative effort can be highly productive and may even bring the personal satisfaction you were originally seeking."
virgo,2013-01-03,"An unconventional plan helps to break you out of a familiar rut today. A job-related issue that's been eluding resolution may suddenly be put to rest, with the answer coming to you like a bolt of lightning. But don't take yourself too seriously, even if your solution is brilliant; acting in a self-righteous manner puts others on the defensive. Simply make your decision and then move on without the need to prove your superiority."
libra,2013-01-03,"Your day won't likely run as smoothly as you wish because unexpected circumstances can have a dramatic impact on your schedule. Unfortunately, you might become quite frustrated if you cling to your original agenda. The smartest way to handle irresolvable tension now is to simply let it go. Acknowledging that fate is temporarily in charge of your life makes embracing the surprises more pleasant than resisting them to no avail."
scorpio,2013-01-03,"Worrying about an unlikely outcome only creates additional stress as you become enthused about a radical approach to a sticky problem at work. There are many possible solutions now, but you have reservations about moving into uncharted territory by taking charge. Your ideas are probably better than you think, so go ahead and initiate action. You can always make necessary adjustments and try again later if you don't hit the nail directly on the head."
sagittarius,2013-01-03,The notion of doing something completely different from everyone's expectations is rather thrilling now. Unplanned activities may supersede your previous commitments. You could even stir up a bit of mischief just to see what kind of reaction you get. Have fun; there's no need to go out of your way to conform since your current unconventional ideas will likely lead to a sensible plan by tomorrow.
capricorn,2013-01-03,"You are usually cautious in your conversations about business, but your thoughts may be so loud today that it's hard to keep quiet. You might even say contradictory things now, which lowers your overall credibility. Instead of rambling on and on, continue to develop your ideas on your own and wait until tomorrow before sharing them. You'll have a much better chance of impressing others if your plan is well conceived."
aquarius,2013-01-03,"Your nervous system is wired tightly today while chatty Mercury is getting buzzed by electric Uranus, your key planet. Be careful, since you could easily commit your time and energy to a creative project that isn't really in your best interest. Consider the consequences before agreeing to an endeavor that can drain your resources. There's no reason to add more activity to your already busy schedule unless it's something you really want to pursue."
pisces,2013-01-03,"You want to show everyone how independent you are today, making you less accommodating than usual. Your patience may be tested, tempting you to say something that could be disruptive. Nevertheless, you don't have to put up with childish games as long as you're prepared to deal with the ramifications of your current rebelliousness. Thankfully, the results will be worth the temporary turmoil if you clearly express your honorable intentions to others."
aries,2013-01-04,"Your ruling planet Mars is supported by buoyant Jupiter today, motivating you to act on your feelings. You feel secure enough to express emotions that would normally make you feel uncomfortably vulnerable. Although your current zest for life may be contagious, you might grow more circumspect toward the evening. Respecting established boundaries now prevents you from having to reconsider your radical approach later on."
taurus,2013-01-04,"Your key planet Venus forms a stressful aspect to somber Saturn tonight, reminding you that common sense will ultimately overcome your enthusiasm. However, don't let your self-restraint kick into action too early in the day or you may miss the other planetary excitement bubbling around you. Starting a new project is a good idea as long as you're willing to follow through with sincere effort after the initial buzz wears off."
gemini,2013-01-04,"At first everyone seems to be having a fine time, but you can see beneath the surface and the atmosphere isn't as copacetic as it appears. It isn't your style to rain on someone else's parade, yet the responsibility may fall on you to be the one to issue a reality check. Nevertheless, there's no reason to approach the situation with negativity. Express your thoughts as kindly as possible and then let go of your attachment to what happens next."
cancer,2013-01-04,"You feel the power of love today but you may not reveal your true passion, especially if the thought of expressing your desires makes you uncomfortable. Although you don't like being emotionally vulnerable on a regular basis, there's no need to let your irrational fears stand in the way of a potentially lovely experience. Instead of trying to control the process, just share what's in your heart without expecting anything in return."
leo,2013-01-04,"Although there are many excellent reasons to work in partnership now, be certain you have all the facts at your disposal before you make faulty assumptions. It's tempting to overlook something you don't want to know, but it's better to be rational and have a solid handle on reality today. Ironically, acknowledging the weight of responsibility opens the doors for more pleasurable times. Do the right thing when it comes to matters of the heart and the rewards will follow."
virgo,2013-01-04,"You feel like you have an inexhaustible supply of energy today, prompting you to reach for the stars. Fortunately, harmonious trines to auspicious Jupiter in your 10th House of Status suggest that you could make a lot of progress toward your career objectives now. There's nothing wrong with setting ambitious goals as long as you're willing to earn your success gradually by working harder than everyone else."
libra,2013-01-04,"Your exuberance is apparent in everything you do today as long as you're being creative. Luckily, you can maintain your sense of optimism if you focus your attention on the future. However, lingering doubts about your ability to follow through with what you start can raise old fears. Talk things over with a trusted friend instead of denying your concerns. Once your issues are out in the open, you'll be able to move forward without carrying the weight of the past on your shoulders."
scorpio,2013-01-04,"Sink into your own feelings today as energetic Mars activates your 4th House of Emotional Security. Your current optimism might inspire others; however a slight case of self-doubt could gnaw away at your confidence. This negativity may just be a passing thought if you are flexible in your thinking. Once you realize the source of your anxiety, you can easily move past it and refocus on the opportunities at hand."
sagittarius,2013-01-04,"Your ruling planet Jupiter is a key player in today's expressive cosmic configuration, pulling you head-first into the realm of relationships. Be careful about going overboard with your enthusiasm, especially if you are using it to cover a deeper concern. Finding a healthy balance between the adrenaline rush of reckless abandon and the dutiful routine of emotional responsibility isn't easy, but well worth the trouble."
capricorn,2013-01-04,"Demonstrating your competence at work is effortless today because everything seems to be going your way. Unfortunately, you may be so sure of yourself now that you take the path of least resistance rather than doing a job in your typically thorough manner. However, you could find yourself in trouble quickly unless you pay attention to all the little details. You can let your hair down and relax once you've fulfilled your current obligations, but not a moment sooner."
aquarius,2013-01-04,"Jovial Jupiter is harmonizing with irrepressible Mars in your 1st House of Personality today, pushing your exuberance to the surface. Everyone can see that you're putting your best foot forward, but you may not feel quite as optimistic as you appear. You have legitimate concerns about the actions of others; but instead of wasting your energy making judgments about someone else, change your own thinking. No one else's behavior needs to negatively impact your day, unless you let it."
pisces,2013-01-04,"Your imagination is often a path for escape, yet today you can dream your way to success as long as you're willing to cooperate with others on the job. Even if you're tempted to withdraw from social interaction, push past your resistance and reach out to your co-workers now. Instead of worrying about what anyone else thinks about your contribution, just show up and be yourself. You may be happily surprised with the positive reinforcement you receive in return."
aries,2013-01-05,"Your partner or friend may tell you something about yourself today that you prefer not to hear. But you're so busy communicating about your current projects or creating career plans that you might forget about your own feelings. Take advantage of this chance to put your world back together by refocusing your reactions to others. Instead of sidestepping the shadows that appear in front of you, shine the light of your awareness and transform your fear into love."
