SIGN,DATE,TEXT
aries,2015-01-01,"You Rams excel at initiating new activities rather than finishing them, making this your kind of day. You look forward to the future with great anticipation, especially since an optimistic Jupiter-Mars opposition gives you an energetic boost. Although so much cosmic encouragement makes it difficult to cut back your busy schedule, be careful that you don't exhaust yourself. Fortunately, with just a little bit of forethought, you can still have a fantastic time while pacing yourself for the long haul."
taurus,2015-01-01,"Your potential to accomplish a lot around your home is great today, but you're not interested in the stress that too much activity brings. You might even wish you could retreat into your shell and let all the noise pass you by. Nevertheless, the holiday celebrations may be hard to ignore. Even if your dreamy day of solitude doesn't materialize, you can still find time to relax. Although the planets inspire you to act boldly, make sure to reserve some energy and resources for the days ahead."
gemini,2015-01-01,"Finding balance in your life can be tricky because your current tendency is to push your limits too far. You want to squeeze the most out of every minute of the day and are not willing to accept anything less. One problem with this kind of extreme thinking is that you could set yourself up for a big disappointment. Instead of looking at each event as an all-or-nothing proposition, remind yourself to keep things in proper perspective. Accepting reality as it is frees you from having to turn every moment into an extraordinary experience. Finding joy in the simple things makes your heart happy."
cancer,2015-01-01,"Although your first impulse may be to decline an invitation today, hanging out with supportive friends is healthy for your self-esteem. Sharing in the fun with your favorite people is heartwarming, but there's no need to overindulge with food, drink or gifts. Concerns about your finances might seem far away for the moment, but finding pleasure is not dependent on spending money. Surrounding yourself with loved ones is a surefire way to recharge your soul."
leo,2015-01-01,"Your I-can-do-it attitude is currently on overdrive, making nearly everything sound possible. But this isn't a great time for speculation, especially if the outcome looks too good to be true. You aren't usually one to let the random ideas of others pull you too far off your planned course of action. Nevertheless, you may need to do a bit of back-pedaling in the days ahead unless you exercise caution now. Explore all options with an open mind today, but do your homework before saying yes."
virgo,2015-01-01,"Too much and too fast are not your style. You prefer to reduce complex situations into manageable pieces through logical analysis. However, you could overreact today and fall into obsessively worrying about the wrong things. No matter how challenging it is to believe that the outcome can match your idealistic expectations, forget about being rational for once and take a risk. You'll never know what could happen unless you spread your wings and fly."
libra,2015-01-01,"Relationships have recently shown you a path of personal growth that is pushing you beyond your old comfort zone. Life is exhilarating today because the horizons of your social world are broadening and exposing you to new experiences. However, the uncertainty of the unknown doesn't make you feel safe. Nevertheless, it's not time to pull back out of fear. Imagine how you could interact with loved ones if you actually believed that anything is possible. Now, act in according with this new vision and see what the future brings."
scorpio,2015-01-01,"Maintaining stability in your relationships keeps you on your toes now. Your feelings are soaring and then something happens to bring them crashing back down to earth. It isn't fun to vacillate between such extremes. However, you can see the absolute best in any situation today and yet still maintain a realistic perspective. Contemplate your future goals without feeling obligated to make any lasting decisions. Extending your imagination into the unobstructed blue sky is a breathtaking experience if you're willing to keep your heart open, no matter what."
sagittarius,2015-01-01,"Ripples of excitement build into waves of anticipation with the new year stretching out in front of you like an uncharted ocean. You're ready to set sail, eager to engage your future while courageous Mars heats up adventurous Jupiter. But no matter how amazing everything appears, it's time for a reality check; if it's overdue, there could be some disappointment on the horizon. However, if you have paid attention to the facts along the way, you could be very close to reaching an important goal. Keep your eye on the prize and your shoulder to the wheel."
capricorn,2015-01-01,"Your sense of who you are or what you have to offer others may be overblown now, but this distortion isn't necessarily a bad thing. In fact, your heightened self-esteem might be the catalyst that finally motivates you to take a calculated risk in a relationship. Ask for what you need; whatever you want is reasonable as long as you aren't too greedy. Just be sure to generously give back in return to make this a fair trade."
aquarius,2015-01-01,"You are running on a full tank of gas today, but oddly enough, you're burning through your fuel faster than ever. Your confidence is so high that you could overestimate your resources or you might even think your friends and relatives possess superpowers. However, this inflated view can lead you down a path to disillusionment when you realize the limitations of being human. Reel in your blind optimism while you still can; life is awesome enough without embellishing it further."
pisces,2015-01-01,"Your happiness is integrally entwined with your productivity now, so you might find chores to do in order to increase your sense of satisfaction. Fortunately, you can talk yourself down from your high expectations; it's a holiday and it may not be convenient to undertake something you cannot finish. In fact, you could get more peace of mind from completing a minor task today than starting a major project. It's wonderful to feel so alive; just remember you don't have to push the edges of the envelope in order to have a fabulous day."
aries,2015-01-02,"You might be incredibly busy today, even if you don't get very much accomplished. You're more interested in pursuing a sparkly new person or a fresh idea than you are in finishing your work. Unfortunately, this kind of irresponsible attitude can stir up the ire of a coworker who wants you to hold up your end of the deal. Avoid causing unnecessary trouble now by fulfilling your promises before doing anything else. Exercising self-discipline early in the day gives you the chance to embark on an intellectual exploration later on."
taurus,2015-01-02,"You are torn between opposing forces today, yet due to a lack of resources you're limited in how you can respond. Accepting an intriguing invitation sounds tempting today, but previous obligations might not give you enough time. You would love to jump at a chance to make more money, but it may not materialize right away. Don't let discouragement bring you down; express your creativity knowing that your efforts will be acknowledged in the future. Keep plugging away for now; your opportunity to shine will come soon enough."
gemini,2015-01-02,"Having too many choices can be a bit overwhelming today, especially if you're trying to follow through on unfinished tasks that are left over from before the holidays. Nevertheless, the Moon's current visit to your inquisitive sign is exciting because you can't help but see wonderful opportunities everywhere you look. There's no reason to be too hard on yourself if you aren't able to concentrate on your work. Just make certain that you come back to it later so you don't let anyone down while you chase your dreams."
cancer,2015-01-02,"Taking defensive action by retreating behind a wall of secrecy won't necessarily make you feel any more secure today. The Moon is hiding out in your 12th House of Privacy, reinforcing your tendency to emotionally withdraw if circumstances become too confusing or intense. However, your smartest strategy is to talk about your concerns. Bringing your feelings out into the open now saves you from having to fall into your fantasies in order to feel safe. Surprisingly, reality could be better than your dreams."
leo,2015-01-02,"Although there may be pressure on you to follow through on your professional commitments, you prefer to be socializing with your friends or associates today. Unfortunately, you could easily forget to return to your chores if you choose to play in the middle of the day. Instead of avoiding responsibilities by jumping from one distraction to another, focus solely on one thing at a time. The company of others will seem more pleasurable when you can truly relax and enjoy it with a clear conscience."
virgo,2015-01-02,"You're at a fork in the road and have choices to make now that could significantly impact the trajectory of your career. You can see the pros and cons of both paths; nevertheless, you must choose based on what you know today, rather than what might happen in the future. Your dreams are inspirational, but it's wise to be practical and pay attention to the facts. Nevertheless, don't hesitate for long; trust your instincts to steer you in the right direction."
libra,2015-01-02,"Your current perspective is not limited by social convention now, yet stepping out of the box may lead you onto an unfamiliar path. Unfortunately, placing too much importance on your impractical ideas can be disorienting if you don't ground your radical plans with reality. However, it's better to give your mind permission to wander rather than attempting to stop your natural creative flow. Just remember that you don't have to act on every whim or share every thought. Exploring your imagination enables you to visit other worlds as you please."
scorpio,2015-01-02,"You may already have your schedule set in stone but you might have to adapt it to an unexpected change of circumstances, anyway. You won't likely change your mind easily, but your unwillingness to be flexible isn't helpful now. Having to relinquish your plans may seem like a setback, but it could be a true blessing in disguise. This is not about your failure to reach your goals; rather, it's a temporary break in your progress that allows you to recharge your batteries so your energy is there when you need it most."
sagittarius,2015-01-02,"Relationship dynamics are in the spotlight today and others might be the source of excitement or irritation, depending on the circumstances. More likely, someone is both pleasant and bothersome at the same time. Although you want to enjoy the company, it's difficult to stick to your agenda when other people keep pulling you off track. There isn't a simple solution to this dilemma, but being adaptable enables you to maintain a positive attitude. Your willingness to meet the opposition halfway opens the door to a whole new world of possibilities."
capricorn,2015-01-02,"You're uncertain about what's expected of you at work today. Even if you are assigned a specific task, there may be a variety of ways for you to tackle it. The dualistic Gemini Moon's visit to your 6th House of Details can weigh you down with minutiae or tie you up in red tape unless you keep your eyes on your goal. Ultimately, it's more effective to jump in and get busy than to endlessly analyze all the angles. The sooner you begin, the quicker you finish."
aquarius,2015-01-02,"You may be fighting a losing battle in your current war against change. It's ironic that you appear to be such a progressive person yet you cling to the status quo like a non-swimmer sticks to the shore. Thankfully, you have recently processed some pretty big lessons about the intuitive power of your strong imagination. Tuning into your dreams can play a significant role in your current drama of transformation."
