SIGN,DATE,TEXT
aries,2012-01-01,"You are eager to get started with the New Year because you believe it will be amazing. Happily, your confidence is likely warranted. You're capable of accomplishing a lot today, but paradoxically, the harder you push, the longer everything takes. It doesn't make sense to force your agenda onto anyone else; instead, relax a bit and let events unfold naturally. Time is on your side so there's no need to be in a hurry now."
taurus,2012-01-01,"You might wake up ready to conquer the world today as a wave of excitement washes over you. However, the rush passes quickly, leaving you with a more sensible outlook. Although you may have a concrete plan, it won't help to overwhelm someone who resists your efforts. It's smarter to turn the tables now and use your stubbornness to work in your favor. Your impatience will only provoke defensive reactions from others. Demonstrate your wisdom by focusing on your long-term strategy instead of wishing for immediate gratification."
gemini,2012-01-01,"You Twins are often of two minds, and today's square between the spontaneous Aries Moon and the calculating Capricorn Sun is no exception. On one hand, you're ready to swing into immediate action, fearing that you'll miss an opportunity if you don't do something right away. Meanwhile, you hear your inner voice cautioning you to wait for a more propitious time. Ultimately, your smartest strategy is to develop your plan more thoroughly first, and then give it your best shot."
cancer,2012-01-01,"Reacting in the moment is often a challenge for you cautious crustaceans unless you're feeling extremely secure. A blast of excitement today can be quite invigorating, but it also raises concerns if you aren't sure what to do next. Thankfully, a bit of planning helps you to sustain your energy once you come down from the adrenaline rush. Keep in mind that nurturing connections with friends and family is just as important now as demonstrating your productivity."
leo,2012-01-01,"Although you may be able to dazzle others with your song and dance, your presentation might lack real substance today. Your fun-loving approach disarms others, eliminating their resistance. Even an adversary won't be able to resist your charm in the long run because your subtle tenacity is relentless. Talking up a storm is fine; just remember to slow down and listen when following your heart's desires."
virgo,2012-01-01,"It's too easy for you to see the imperfections of someone else's plan but not your own. Be careful, for your acute analysis and criticism won't likely work in your favor now. In fact, you might inadvertently push an ally farther away if you say too much or come on too strong. Patience is your friend today; take lots of small steps when you're ready instead of forcing one giant leap before it's time."
libra,2012-01-01,"You are in a cosmic game of tug-of-war as competitive friends try to get you to see things differently. However, playful give-and-take could suddenly turn more serious. Thankfully, there isn't really a need for animosity, even if there is underlying tension today. But you're more interested in making love, not war. Although there may not be any romance involved, focus on creating common ground and the harmonious atmosphere will soon return."
scorpio,2012-01-01,"Your decisive actions demonstrate one story while your unexpressed desires tell a different tale. It looks like you're fully engaged in a social setting today, yet you can also be very productive if left to your own devices. Nevertheless, you're yearning for an entirely different experience, even if you're not yet ready to share your visions. Remember, there is no hurry, so keep your dreams quiet until they're solid enough to talk about with someone you trust."
sagittarius,2012-01-01,"Today is filled with fun and games as the feisty Aries Moon activates your 5th House of Play. Luckily, showing your good-natured personality to everyone helps you build the support you need. Doing too much planning brings diminishing returns, so just live in the power of now and make it up as you go along. If you maintain a joyful attitude, pleasurable rewards should follow."
capricorn,2012-01-01,"Your current excitability may not guarantee fun, but if you can be a little less practical today, you should be able to manage your emotions. However, avoiding your feelings won't work now, for they will return with increased power. Take time to separate your personal goals from your career objectives so you can gain clarity on both. Remember, it's easier to be ambitious when you're involved with something that you love."
