SIGN,DATE,TEXT
aries,2011-01-01,"You are ready for the New Year and have great hopes for what's ahead. Although things may not take off right away, you can still turn this day into an exciting one. Even if you have made social commitments, be flexible enough to change your plans if something better comes your way. But it's not sufficient to only have a good time; you'll be happier if you can find an activity that also gives you a sense of purpose."
taurus,2011-01-01,"Keep your senses sharp today so you can distinguish between the exciting buzz that's growing in your life and your current temptation to jump into the future. But it's disconcerting if you cannot put your finger on the source of your current upbeat mood and your anticipation of what's ahead may be rather distracting. No matter how eager you are for something to happen, you still need to be patient. Discover the joy of the present moment, instead of waiting for the next event that rocks your world."
gemini,2011-01-01,"Although today is a holiday for most people, you might be moving so fast that you run into yourself returning from some destination you haven't yet reached. However, this type of altered reality isn't very useful, even if it allows you to amuse yourself with your cleverness. Ultimately, you are better off now by being a little more practical and a lot less of a trickster."
cancer,2011-01-01,"You are agitated today because you don't want to be constrained by your social obligations. Unfortunately, it's very hard now to focus on the tasks at hand. There may actually be too much happening in your life these days, which can leave you feeling overwhelmed. Remember, your emotional response can deplete your energy unless you are willing, on occasion, to address your own needs first."
leo,2011-01-01,"You're feeling quite creative, but you might be more interested in watching a football game today than doing something productive. Nevertheless, it's difficult for you to just let go of your routine responsibilities. Once you step beyond your current world, your life becomes more fun because anything can happen. However, the window of opportunity won't stay open long; jump out while you can."
virgo,2011-01-01,"Your thoughts are scattered today, yet fortunately, it's easy to hide your nervous energy. You are tempted to voice your opinion and let everyone know why you're unwilling to go along with the plan. However, you'll be happier now if you can let go of your compulsive need to be in control. Instead, focus on whatever task seems to be the highest priority. When you're done with that, consider what comes next. Baby steps will lead to success."
libra,2011-01-01,"Although you still have a number of chores at home to finish today, your positive approach will likely help you to reduce your workload. But you might not be able to stay focused on your agenda because everyone else's plans seem to be more interesting. Nevertheless, the grass is not always greener on the other side of the fence; continuing with your priorities should make for a workable strategy."
scorpio,2011-01-01,"Your thoughts can definitely have a direct impact on your finances today. But contrary to some New Age theories, visualizing your new car or house isn't sufficient to make one appear. However, there is a direct relationship between your self-esteem and your earning potential, so find time to uncover any emotional blocks that are still in the way of your prosperity."
sagittarius,2011-01-01,"Your current self-confidence may not last forever, but you still can use it today to put critical events into motion. Your eclectic approach to a difficult situation may lead to some of your acquaintances disapproving of your lifestyle choices. However, if you can learn to trust your own instincts, rather than worrying about peer feedback, you could be thrilled by the results."
capricorn,2011-01-01,"You may be so entrenched in your current lifestyle that it takes a sudden surprise to wake you from your sleep. If you have grown rigid about what you want to do, it might be time now for serious reevaluation. Self-examination won't be easy, but it's worthwhile if you learn to shed the limitations you've placed on yourself. Fasten your seatbelt; your income potential is on the rise and your life is about to change."
aquarius,2011-01-01,"You can be so distracted by your involvement in the lives of others that you inadvertently let your own obligations slip. But nothing is to be gained at this time by placing your needs subservient to the common good. This type of community-oriented thinking is admirable, but now it stands between you and your personal growth. Being a little selfish today can be quite beneficial to others in the future."
pisces,2011-01-01,"You may feel as if others aren't noticing you today, and it's doubly frustrating because you have something important to say. However, your current feeling of invisibility may be due to your lack of assertion. Push through your fears of rejection, even if it seems like no one appreciates your extra effort. Sometimes taking care of everyone else can leave you exhausted. Don't rely on getting approval for your actions; just listen to your instincts and do what feels natural."
aries,2011-01-02,"You may be eager to start a new project, but it's crucial that your impulsiveness doesn't tempt you to jump the gun. It's better to wait a while before you take your best shot. Don't worry about falling behind; instead, use your time to build a stronger foundation on which your future work can stand. Progress may be slow now, but today's efforts will be appreciated in a week or two."
taurus,2011-01-02,"You are balancing two different strategies today. You know that rushing forward isn't a smart idea now, and you are willing to wait longer before taking your plans to the next level. However, you are seeing signs that indicate taking immediate action is better than doing nothing, in spite of being hesitant about plowing ahead. Even if you're tempted to throw caution to the wind, patience is still your key to success. There's no need to be in such a hurry."
gemini,2011-01-02,"You may set your pace early in the day, but everyone seems to be telling you to move faster. Meanwhile, your intuition is advising you to slow down. Paradoxically, you won't require more time to reach your goal if you don't work so quickly now. Sometimes finding your own rhythm is more efficient than speeding your way through your chores and then having to redo them later."
cancer,2011-01-02,"You normally don't want to be involved in a conflict if someone is trying to outsmart you with logic. However, you may need to be more assertive today if others attempt to make decisions for you. You are completely capable of arriving at a sensible conclusion without help from anyone else, and acquiescing power could undermine your authority later on. Grandiose gestures are in style now, so don't limit your thinking. If you must set boundaries to keep people out of your personal life, do it in a respectful and kind manner."
leo,2011-01-02,"You can continue on your creative roll today, but you must watch your current tendency to overindulge your senses. It's absolutely crucial now to think about what you are going to say before you blurt out your thoughts. Self-restraint may not sound like a lot of fun, but an awkward situation could throw a monkey wrench into the works if you don't practice moderation."
virgo,2011-01-02,"You may face another round of an all too familiar issue today as your ability to wait until the right moment is tested. Thankfully, your pragmatic perspective won't fail you now. You instinctively know to steer clear of opportunities with no downside. It's better to experience the shadow (or, at least, to recognize that one is lurking nearby) than to mistakenly believe that all is well. A serious reality check should save you from any disillusionment tomorrow."
libra,2011-01-02,"You can feel that something exciting is right around the next corner. You are ready for some sort of catalyst to shake your life loose, but may not know what it is yet. Needless to say, this makes it difficult, if not impossible, to prepare for what's coming up. Your best strategy is to keep reminding yourself to stay in the present moment so that you don't miss opportunity knocking at your door."
scorpio,2011-01-02,"Hard work doesn't intimidate you, and you might even be looking forward to showing others what you can do now. Luckily, you have an ace up your sleeve and could surprise anyone who thinks you might fail. You are capable of being productive beyond everyone's expectations today. Don't be concerned about receiving positive feedback; the rewards will be well worth the wait."
sagittarius,2011-01-02,"Everyone seems okay about moving into new territory today, yet your natural impatience makes you happiest when you are running ahead of the pack. Although you haven't been here before, you're not willing to slow down enough to let logic be your guide. Even if you're working on pure instinct now, don't close yourself off to valuable advice if it comes your way."
capricorn,2011-01-02,"You may be sad that the holidays are coming to an end, especially if you are uncertain about the upcoming year. One strategy is to bolt ahead as if you know where you're going. Another approach may be to slow down or even coast while you figure it all out. Set your discouragement aside and focus on the most amazing outcome possible. Even if you aren't progressing as fast as you wish, rest assured you are moving toward your goals and will reach them sooner than you think."
aquarius,2011-01-02,"You may feel disappointed now, yet you don't want to share your thoughts with anyone else. It's not that you're a pessimist; it's just that you are able to anticipate potential problems and this perspective can be discouraging. Nevertheless, there's no need to fritter your energy away by expressing negativity. Do your best to analyze the current situation, make any necessary changes and then move along. There's no point in wasting time when there are so many positive things you can do."
pisces,2011-01-02,"You are standing at the edge of a canyon and there's no apparent way across to the other side. Nevertheless, your vivid imagination is running on overdrive now and you may believe that jumping or flying is a viable option. Fortunately, you have the sense not to get carried away with an unrealistic dream. Instead of rushing the looming transition, return to your checklist and go over the details one last time before blasting ahead."
aries,2011-01-03,"You often will wait until the last minute and then squeak in under a deadline. But every moment counts now, so you would be wise to make an effort to find your stride early on today. The sooner you begin a project, the longer you'll be able to sustain your high level of productivity. Starting off quickly makes sense only if you're then willing to slow down and work steadily toward your goal."
taurus,2011-01-03,"You are ready for your next great adventure, and the lessons you learn today can be very helpful later on. There are few limits on what is possible now once you make up your mind to initiate action. There's no need to fear big thinking as long as you're willing to bring your ideas down to a very practical level."
gemini,2011-01-03,"You are determined to get to the bottom of a mystery that's intrigued you for a while. But this isn't about a passing whim; you are fully committed to understanding your feelings, even if it takes longer than you expect. Although you could be motivated by unrealistic values, you don't have to let go of what's meaningful to you. Set your priorities and then bring your most important ideals down to earth."
cancer,2011-01-03,"Your boss or some other authority may be critical of your easygoing approach to work today. However, you're wise to listen carefully to what you are told, even if you're tempted to ignore the feedback. Learning a lesson from someone who is a harsh taskmaster can be challenging because you might want to withdraw and avoid what feels like a personal attack. Nevertheless, staying open to others now can teach you how to improve your game and be even more productive."
leo,2011-01-03,"Although you may be tempted to escape into a lovely fantasy now, you need to be more focused than ever. Your unfettered dreams can help you be more confident, but they are also a distraction from the serious work at hand. You might not want to pay attention to the details, but overcoming your own resistance is the first step toward reaching your goals in the weeks ahead."
virgo,2011-01-03,"Establishing a consistent work pace is crucial now, for uneven progress can set you up for failure. Luckily, your perceptions are quite sharp and you can accurately estimate the time and resources required to finish a task. Prioritizing your goals is a good place to start. Once you have a practical strategy, you won't need to hold yourself back. Effective planning will allow you to reach your dreams sooner than you think."
libra,2011-01-03,"You are certain about your goals now because you have a strong sense of purpose. You know what you want to do and a few obstacles won't prevent you from reaching your destination. Still, you'll need to be careful so unrealistic fantasies don't lure you off the main path. Avoid complexity; the simpler your plan, the more you'll be able to trust your intuition."
scorpio,2011-01-03,"Your ideas can be so outrageous today that it's difficult to tell if they are based on reality or fantasy. It's important to distinguish between the two, for you must temporarily set aside your unrealizable dreams so you can accomplish something that has lasting value now. Creating an action plan is not enough; you must take the next step and do something about it. However, it's not helpful to attempt too much all at once. Many manageable steps are better than one spontaneous leap forward."
sagittarius,2011-01-03,"It may be easy for you to assume a significant amount of control today, but over-managing a situation could lead to a mess. Instead, loosening the reins will encourage others to play a more significant role in the decision-making process. Allowing your co-workers to share leadership responsibilities can make tough obstacles easier to overcome. Slow down and proceed with caution until you get the green light."
capricorn,2011-01-03,"Nothing is simple now with so many planets traveling through your hardworking sign. The weight of the world is sitting on your shoulders and you're growing weary of supporting everyone else. However, you don't have to accept the authoritative role that's being placed on you. Show your wisdom by encouraging others to discover their own paths to success. Even if you think that you know best, it will be even better when everyone is motivated to work together."
aquarius,2011-01-03,"Your dreams are steering you toward practical solutions today as the serious Capricorn Moon visits your 12th House of Imagination, bringing your fantasies down to earth. But trying to hold on to old assumptions could stand between you and any future success. Practice trusting your intuition now, for it will guide you toward your new destination."
pisces,2011-01-03,"The Moon's entry into your 11th House of Long-Term Goals tempts you to dream about the distant future instead of focusing on important events right now. But this isn't time to kick back and let your imagination take you on a magic carpet ride. Instead, be proactive and seize the moment. You have an opportunity to rebuild your life one concrete step at a time. Planning is useful as long as you are willing to get to work right away."
aries,2011-01-04,"Unexpected developments at work lead to a whole new set of possibilities as today's Solar Eclipse rattles your 10th House of Career. You are ready to take on a big challenge, partly because you might underestimate the amount of work that will be required to complete a project. However, if you can keep your fantasies from distorting the facts, you will have an excellent chance to make your dreams come true. Reach outside the box, but don't lose your common sense."
taurus,2011-01-04,"A co-worker may oppose your efforts today as the Solar Eclipse stirs up resistance in your 9th House of Big Ideas. Instead of stubbornly fighting back to deal with the obstacles that surface now, try working with others to improve your plan. You have an opportunity to break out of a rut, but you won't be able to do it alone. Cooperation, not conflict, will lead to success."
gemini,2011-01-04,"You mean business today and, fortunately, have a perfect opportunity to demonstrate your sound logic and emotional depth. Others won't be able to marginalize your ideas, especially if they are well thought out and built on sound assumptions. Taking a calculated risk can bring rewards beyond your wildest expectations, but you'll still have to work hard to receive the payoff."
cancer,2011-01-04,"A relationship that usually seems safe may test your limits today as you struggle to redefine your boundaries. Normally, you don't like feeling insecure, but you may enjoy the adrenaline rush now, especially if you're riding a wave of self-confidence. Blind optimism will surely land you in trouble, so make sure that you balance your hopes and dreams with the common sense and advice that others bring to you."
leo,2011-01-04,"You are quite serious about setting new goals today and you probably think that there isn't anything that can distract you from your self-appointed path. Fortunately, good ideas roll though your mind now like waves crashing on a beach. Nevertheless, you can grow so enamored with one amazing thought after another that you are hypnotized by all that's possible. Visionary thinking may be uplifting yet unsatisfying, unless you keep reminding yourself to be productive in the process."
virgo,2011-01-04,"You have a lot to do today and you are eager to jump in and get started. The ambitious Capricorn Solar Eclipse creates movement in your 5th House of Self-Expression, encouraging you to show others how your artistic skills can lend support to an important project or business venture. Don't be surprised if someone likes your work so much that he or she becomes your greatest supporter. Try not to make assumptions about the roles that your allies can play. If another person wants to help, graciously accept the offer with a smile."
libra,2011-01-04,"Your key planet Venus has been adding intensity to your life as she travels through passionate Scorpio -- maybe even creating too much drama for your preferred even-keeled manner. Today, however, Venus empowers you with a magical trine to independent Uranus and confident Jupiter. Taking the proverbial bull by the horns might sound like a crazy idea, but it just may be the strategy you need at this moment."
scorpio,2011-01-04,"Your attempts to slow the pace of communication today may be too little and too late. A recurring conversation could feel like a runaway rollercoaster car, but you may not notice how far off track it's going until you try to stop the ride so you can get off. Panic feeds fear, but, thankfully, deep breathing can bring you back to your center. Be aware that every word you speak resonates with more intention than you realize."
sagittarius,2011-01-04,"Don't try to shift the responsibility for your unhappiness onto an unstable situation at home. Your key planet Jupiter joins futuristic Uranus in your 4th House of Roots to blast you out of the status quo. Consider what you want and express your needs with honesty and kindness now. You should get an energetic boost from the New Moon Eclipse in your 2nd House of Self-Worth, provoking you to take a risk to achieve something that's important to you."
capricorn,2011-01-04,"It's difficult now for you to escape the same dynamic changes that you successfully already postponed once or twice before. But today's Solar Eclipse in your sign is dynamically squaring your ruling planet, Saturn the Taskmaster, extracting an extra share of blood, sweat and tears. No matter what, you have to work very hard now for everything you want. Although you may be very successful, your efforts might not pay off the way you expect."
aquarius,2011-01-04,"Your key planet Uranus is erratic and sometimes irrepressible. Today, it's conjunction with expansive Jupiter in your 2nd House of Money suggests a possible windfall or a sudden change of fortune. But even if good news comes your way in the form of a financial reward, the benefits might not last if you're careless. Avoid the easy-come, easy-go trap by moderating your spending patterns. Although you cannot buy your way to happiness, you can create emotional prosperity by sharing your ideas with your friends."
pisces,2011-01-04,"Sensuous Venus aspects both of your key planets, Jupiter and Neptune, today, increasing your optimism while tempting you to escape into a fantasy world. Meanwhile, the dutiful Capricorn Solar Eclipse in your 11th House of Future Goals requires a cautious and conservative approach to all social and professional interactions. Fortunately, you are flexible enough to maintain your composure in the middle of this dynamic time."
aries,2011-01-05,"You might try a variety of tactics to achieve your goals today, yet you still may be frustrated that things don't happen as fast as you wish. Surrounding yourself with supportive colleagues and loyal friends can help you to keep your energy positive. Although relying on others isn't necessarily a permanent solution, losing yourself in a group of like-minded people can temporarily reduce your self-made pressure to succeed."
taurus,2011-01-05,"You may be quite enamored with the idea of going back to school to open your eyes to a new way of thinking. However, even studying something like philosophy must have a more practical side, too, or it won't keep your interest. Instead of making a long-term commitment, you might be satisfied by traveling to someplace new. Anything that takes your mind far away now can add more meaning to your life."
gemini,2011-01-05,"You are the curious type, yet now your need for more information can become an obsession about a foreign destination or a radical world view. These subjects have a common thread in that they can pull you out beyond the edges of your present worries. Nevertheless, escaping your current obligations won't come without a personal cost. Although you may want to commit to a lifelong dream, make sure you finish something tangible today, too."
cancer,2011-01-05,"You are very realistic today, but this won't stop you from creating opportunities out of a chance meeting. If someone opens a door for you, don't be afraid to walk through to the other side. Even if a co-worker criticizes you, make sure to closely listen to what is being said so you can respond accordingly. But this is not only about having a good time; find an adventure that encourages your growth without wasting your energy on a wild goose chase."
leo,2011-01-05,"It's all about everyone else in your life now that the Moon is in your 7th House of Relationships. You don't exist in a void; there must be an easy rhythm to your life, so you can dance through your day with a partner. But progress could be very slow; don't worry if it seems like you're not gaining any ground. The leap ahead will happen before you know it."
virgo,2011-01-05,"You are the King or Queen of Paradoxes today because you are very positive about the potential of any scenario now, no matter what the circumstances. Fortunately, you're not willing to follow someone into a nebulous fantasy that originates from sloppy thinking. Ultimately, your commitment to the truth cannot be set aside. Consider all the possibilities, make a choice and then live with your decision."
libra,2011-01-05,"It's difficult for you to understand where your great inspiration comes from today, yet a fresh wind is blowing in this new year. Your muse may be encouraging you to manifest something beautiful, but you could still struggle with the act of creation. No matter how out of place you might feel, take the ideas that come to you now and work them into everything you create."
scorpio,2011-01-05,"You may be feeling very protective of your feelings now. With a pile of planets clustered in your subjective 3rd and 4th houses today, it may be challenging to take what you learn and turn it into something productive. Even if your attitude begins to improve this afternoon, it's still wise to take it easy instead of doing work, work and more work."
sagittarius,2011-01-05,"You may spend a lot of time questioning your own emotionally-detached style of intellectual inquiry today. Your current stress can motivate you to turn your ideas into a new source of income and blissfully do what you love to do most. Act as fluidly as you can because the cosmic weather is shifting. Still, it's more comfortable to go with the flow for a while than attempting to hold on to your predetermined course."
capricorn,2011-01-05,"Your best ideas are being co-opted by a group of very smart people, and you may need to fight for your point of view every step of the way now. Holding on to the status quo may seem more important than looking forward to what is next. Keep in mind that fear of the future is not a healthy motivator. If you are frightened of the intensity, work on transforming negativity into hope and love."
aquarius,2011-01-05,"You are optimistic about your future, even if you feel as if there's still a lot of hard work to do. But your inner fears and complex changes could remain invisible to others; they may not even realize that you're going through a powerful process unless you go out of your way to tell them. Save your meaningful self-disclosure until you know exactly where you are going."
pisces,2011-01-05,"You may receive an income boost today and, thankfully, every little bit helps. Fortunately, this isn't an ethereal buzz that materializes from a different dimension. Financial advice that can have an immediate and positive impact on your day comes to you in the form of a concrete suggestion from someone you know. But don't be content to stick with one approach. It makes good sense now to keep a few extra irons in the fire."
aries,2011-01-06,"Undertaking a new activity is often your idea of a fun time. Even if you feel the need to get something accomplished today, you are still in a relatively expansive period. You may not be panicking because the deadlines aren't close enough yet. Don't become overly complacent; a systematic narrowing of your field of vision could help you focus on what needs to happen next."
