SIGN,DATE,TEXT
aries,2016-01-01,"The emotional landscape has changed abruptly, leaving you to wonder about the complexities of relationships. This unexpected shift can mark the start of something new as cracks appear in a brittle shell that once kept you safe. It's time to emerge and face the world on your own terms, so don't get sidetracked by trying to repair the breach. Instead, dream about all the potential ahead for the baby chick once it is free from the nest."
taurus,2016-01-01,"Although you deserve a day of rest, you're buzzing around today as original ideas and beautiful images cascade into consciousness. But you must be careful because your thoughts may not be as brilliant as you believe. Your unconventional desires could even border on craziness now, so listen to what a trusted friend says before doing something outrageous you'll later regret. Everything doesn't have to follow according to your plan; you can improve nearly any activity by loosening the reins and sharing responsibility with those around you."
gemini,2016-01-01,"Your friends may seem unreliable today, disrupting previous plans that required their participation. This unpredictability can be challenging, since you must make choices based upon your ability to deliver on your promises. Unfortunately, you can't depend on the unflagging support of others at this time. Don't expect any extra assistance; if someone comes through for you, take it as a pleasant surprise and graciously accept their support."
cancer,2016-01-01,"Your reputation among your tribe might radically change today. If you experience a minor setback, it's only reality's way of pointing out something that needs your immediate attention. On the other hand, others may think that you're a real genius if your unconventional idea actually works. Either way, the status quo is about to shift beneath your feet, so don't try to hold on to the past. Reassess your direction and put your new plan into action as soon as possible. Fortune favors the bold."
leo,2016-01-01,"You may shut the door in an attempt to keep out extraneous noise today. Yet everything is moving so fast now that you must deal with the sheer rapidity of the speed of change, even if you're not happy about it. Any misguided attempts to stick to your current position are futile; the more you resist the future, the faster it arrives. Let go and dance with the uncertainty. Allow exhilaration to replace your fear and embrace the unknown."
virgo,2016-01-01,"You typically can be counted on to play it safe, but you're suddenly tempted to step outside the box today and surprise someone with your willingness to take a risk. However, you may end up on an unexpected detour, even if you're acting in a cautious manner. Hidden tensions that express without warning are either initiated by you or else they happen to you. Naturally, a proactive strike is better than waiting for something to happen."
libra,2016-01-01,"You are fighting the Goldilocks syndrome today. Finding a happy medium may be impossible because your reactions to trivial events seem to be too much or too little. You might even grow annoyed because people assume you want everything while you feel as if you're not asking for enough. Rather than blurting out your needs impulsively, let them sit and simmer a while before sharing them. Thankfully, the extremes will continue to settle down for the next day or two, allowing you to say exactly how you feel without turning your life upside down."
scorpio,2016-01-01,"You're mesmerized by rational explanations of complex mysteries today as you seek answers to the unsolvable questions of life. Whether you find yourself studying ancient philosophies or quantum physics, you are quick to grasp complicated concepts now. But don't close your heart as you open your mind. There's no way around it; your emotions must play an integral role in your mental breakthrough now for it to have meaningful value."
sagittarius,2016-01-01,"You might think you're acting in a more practical manner, but you'll probably end up letting your feelings dictate your activities now. You may be in the throes of a new relationship, consumed with a competitive sport or fascinated by a captivating hobby. Whatever the reason, you are willing to be pulled off course now. But this doesn't need to be all-or-nothing venture as you seek exciting avenues of expression. Play close to the edge and don't be afraid to move the boundaries. Just be careful not to step on anyone's toes in the process."
capricorn,2016-01-01,"If circumstances at home seem overly complicated today, you might be ready to try a more diplomatic approach to the dilemma. Nevertheless, everyone's emotions can quickly escalate once you start talking. Ironically, you may secretly enjoy the fireworks, since the unplanned free-for-all could catalyze stagnant issues and provoke radical change. No matter how disruptive the discussion becomes, the air will clear once everyone has a chance to be heard."
aquarius,2016-01-01,"Your emotions are at odds with your logic today, especially if you are tempted to behave in a way that conflicts with your core values. It's tricky to embrace a strong desire that pulls you off balance, but suppressing an attraction won't make it go away. You're being gifted now with a unique opportunity to heal a wound that you have carried within your heart for a long time. Soften your hard edges, forgive yourself and move on."
pisces,2016-01-01,"Although you may still be reveling in the holiday spirit, your mind is already thinking about your future career objectives. Thankfully, your current sense of duty holds you in good stead on the job now. But you can't perform the same old tasks in the same old way and expect to feel inspired. Be daring in your communication today, whether it's by email, phone or in person. Don't miss an opportunity to establish new connections because you might meet someone who could open doors to places you've never been."
aries,2016-01-02,"Listening to the voice of reason isn't easy today as relationship tension tugs at your heartstrings. Unfortunately, your words are more inflammatory than you realize, especially if you impulsively open your mouth before considering anyone else's feelings. Thankfully, you can reduce the negative impact of your rash reaction by simply remembering to be respectful of other people's perspectives. In the final analysis, acting for the good of all brings more emotional satisfaction than only looking out for yourself."
taurus,2016-01-02,"You Bulls are quick to dig in your hoofs and get ready for battle if you feel your stability is being threatened. You might even be provoked to fight back in order to maintain possession of what you assume is yours. Unfortunately, your opinions can magically turn into facts now. You could begin to believe them so intensely that you're unable to hear anyone's contrasting viewpoint. Nevertheless, remaining open to new information strengthens your connections with those around you."
gemini,2016-01-02,"Since you are usually the first one to change your mind, others may be caught off guard if you stick with a specific action plan even when better alternatives become available. You're attracted to complex entanglements now because you want to experience the deep emotions that usually slip through your fingers. Happily, unbridled inspiration accompanies you on your journey today, stimulating your innate curiosity so you can learn even more about yourself and those you love."
cancer,2016-01-02,"You may need to stand up to people who refuse to give you what you want today. You might even feel personally attacked by someone who accuses you of using your vulnerability to get your way. Letting down your guard and sharing your true feelings is challenging when you think it's safer to keep your desires hidden. Nevertheless, you can earn the admiration of others now by revealing your softer side without compromising your integrity. Your strength of character is undeniable when you speak from your heart."
leo,2016-01-02,"Your peers will either follow your lead today or just step out of your way because your positive attitude is so unflappable. No one can talk you into taking a different path if you already know where you're going and how you're getting there. Thankfully, you can accomplish more than you expect if you remain methodical in your approach now. Nevertheless, being obsessed with the details is counterproductive. Developing a concrete plan is useful only if it has enough  built-in flexibility to respond to the changing circumstances."
virgo,2016-01-02,"You may be preoccupied with wanting to have fun today and will do nearly anything to keep your social plans from falling apart. However, playing the role of a drill sergeant and telling people what to do isn't the most effective management style. Relaxing your grip on the reins of control contributes to a more pleasant and productive day for everyone. Leaving a bit of room for the element of surprise can make all the difference in the world. Spontaneity is your friend."
libra,2016-01-02,"Although you're not typically emotionally volatile, powerful desires can build until the pressure becomes unbearable today. A dramatic event in a relationship could rattle your cage; however, the stress won't lead to a volcanic meltdown if you stay on top of your feelings throughout the day. Calm your nerves with exercise, meditation or creative expression. Positive change is more likely now if you're willing to leave your familiar routines behind and jump into unknown territory with an open heart."
scorpio,2016-01-02,"There's no place in your life for passive behavior today; letting circumstances develop until you lose control is not a viable strategy. In fact, cosmic forces prompt you into action now, whether or not you are ready for the engagement. Clearly express what you want without issuing any ultimatums or placing expectations on anyone else. Say exactly what you mean and then allow the situation to cool down on its own, without being overly attached to the final outcome. Sometimes the greatest magic requires a bit of breathing room to come to life."
sagittarius,2016-01-02,"You often enjoy the excitement of a little chaos and confusion, but nearly everything seems up for grabs today. You may not feel as if you're in control of your destiny, and you can't yet put your finger on where the current changes are leading you. Paradoxically, it might appear that your choices are narrowing at the very same time. But don't act out of desperation even if you are committed to making magic happen now. Thankfully, your current sense of urgency will fade, giving you plenty of time to make your dreams come true."
capricorn,2016-01-02,"You are tired of sitting around waiting for someone else to get the ball rolling. You are running low on patience today and you might choose to handle your frustration by striking out on your own, leaving everyone else to fend for themselves. Be prepared to forge ahead if you want to make progress now, but it's advisable to remember the wisdom of moderated self-restraint. A black-or-white solution might not be the only answer, so consider all options now before resuming your drive to success."
aquarius,2016-01-02,"Bringing an unfinished project to its proper conclusion makes room for exciting new opportunities. However, anything that remains incomplete now will likely haunt you for weeks to come. Your next venture demands your full concentration which means that you can't drag your old baggage around much longer. But don't waste time wondering about what the future holds in store for you. Instead, focus all your energy on lightening your load today to prepare for the challenges of tomorrow."
pisces,2016-01-02,"A complex emotional issue that's been quietly brewing within a relationship or a group of friends may need to be brought out into the open today. The expression of hidden emotions is a good first step in a healthy process of honest dialogue, even if the information revealed isn't what's expected. Banish all fears and suspicions before they creep into the mix; rather than withdrawing in denial, focus on the rainbow of possibilities that waits beyond your current trials and tribulations. Set a shining example for everyone else to follow."
aries,2016-01-03,"You're swept up in a whirlwind of cosmic energy as you naively attempt to untangle your emotional attachments. You might try to take an impartial approach to relationships today, but you still could encounter a block until you make a tough decision. Not surprisingly, the right choice now may alter the trajectory of your life. Luckily, your clear intentions help you to cast the current circumstances in a positive light, empowering you to walk fearlessly into the future."
taurus,2016-01-03,"You're doing everything you can to avoid an unpleasant confrontation today because you cannot see how it will lead to anything constructive. It's a lot less stressful to ambivalently sit on the fence and wait for resolution than to get caught up in the emotional fray. Nevertheless, inaction only works for so long. Everyone will feel better after the various opinions are out in the open, even if there's no apparent common ground to be found yet. Thankfully, it's not necessary to force a group consensus now; compromise is an art that cannot be rushed."
gemini,2016-01-03,"You are driven to defend your recent choices while messenger Mercury is put to the test by warrior Mars. If you proudly stand up to political pressure, your priorities evolve and your most spiritual thoughts will endure. Holding onto your vision helps you conquer a difficult opponent. You may feel that someone is out to defeat you; however, if you are clever enough to steer clear of conflict today, you can continue toward your destination without further interference. Take the high road and see who follows."
cancer,2016-01-03,"Showing your feelings comes more naturally now that action-planet Mars is camped out in your 5th House of Self-Expression. All emotional interactions may seem a tad overwhelming now; there's so much going on in your life, it's nearly impossible to know where to start. Although it's healthy to power through your hesitation, don't share everything at once. Choose your subject matter carefully and then take a creative route to prove your point; your wide-ranging knowledge base and infamous tenacity will help you to reach your goals."
leo,2016-01-03,"Fortunately, you're processing the waves of change today while standing on a strong foundation. However, you may be recovering from recently going out on a limb and sharing more than was necessary. And you might face an uphill battle, no matter how optimistic you are that everyone can step beyond their parochial thinking to see the bigger picture. Most attempts to demonstrate your intellectual superiority are bound to fail now. Instead of turning this into a game where someone is likely to lose, it's up to you to invent a way in which everyone can win."
virgo,2016-01-03,"Although you quickly acknowledge the power of your convictions, it's tricky when someone close to you works with an entirely different set of assumptions. But it's a waste of energy to engage in a fight just to prove someone else is wrong and you are right. Trying to change another person's mind is a dead-end street today. Thankfully, you will be free to re-focus on your continued self-improvement once you acknowledge that intelligent people can hold opposing views. When in doubt, err on the side of peace."
